# JMH version: 1.27
# VM version: JDK 11.0.9, OpenJDK 64-Bit Server VM, 11.0.9+10-jvmci-20.3-b06
# VM invoker: /home/user/Downloads/graalvm-ce-java11-20.3.0/bin/java
# VM options: -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCIProduct -XX:-UnlockExperimentalVMOptions -XX:ThreadPriorityPolicy=1
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
LogSumExpBenchmark.math             1000000  thrpt   10       160.547 ±     0.363  ops/s
LogSumExpBenchmark.math            10000000  thrpt   10        15.826 ±     0.026  ops/s
LogSumExpBenchmark.multik               100  thrpt   10    590184.635 ±  2500.291  ops/s
LogSumExpBenchmark.multik              1000  thrpt   10     59431.611 ±   285.222  ops/s
LogSumExpBenchmark.multik             10000  thrpt   10      6494.721 ±     7.747  ops/s
LogSumExpBenchmark.multik            100000  thrpt   10       653.166 ±     2.872  ops/s
LogSumExpBenchmark.multik           1000000  thrpt   10        64.216 ±     0.276  ops/s
LogSumExpBenchmark.multik          10000000  thrpt   10         6.399 ±     0.018  ops/s
LogSumExpBenchmark.viktor               100  thrpt   10   2265351.048 ±  4842.181  ops/s
LogSumExpBenchmark.viktor              1000  thrpt   10    311334.250 ±   835.682  ops/s
LogSumExpBenchmark.viktor             10000  thrpt   10     32222.224 ±   105.314  ops/s
LogSumExpBenchmark.viktor            100000  thrpt   10      3215.945 ±     5.452  ops/s
LogSumExpBenchmark.viktor           1000000  thrpt   10       310.667 ±     0.733  ops/s
LogSumExpBenchmark.viktor          10000000  thrpt   10        29.581 ±     0.036  ops/s
MultiplicationBenchmark.kmath           100  thrpt   10   8025219.642 ± 24372.127  ops/s
MultiplicationBenchmark.kmath          1000  thrpt   10   1012380.792 ±  2765.457  ops/s
MultiplicationBenchmark.kmath         10000  thrpt   10    109549.663 ±   314.995  ops/s
MultiplicationBenchmark.kmath        100000  thrpt   10     10791.857 ±    84.602  ops/s
MultiplicationBenchmark.kmath       1000000  thrpt   10       642.031 ±     4.402  ops/s
MultiplicationBenchmark.kmath      10000000  thrpt   10        56.003 ±     0.115  ops/s
MultiplicationBenchmark.loop            100  thrpt   10   9130082.317 ± 23011.810  ops/s
MultiplicationBenchmark.loop           1000  thrpt   10   1037961.520 ± 11038.038  ops/s
MultiplicationBenchmark.loop          10000  thrpt   10    110987.936 ±   542.622  ops/s
MultiplicationBenchmark.loop         100000  thrpt   10     10580.026 ±   111.323  ops/s
MultiplicationBenchmark.loop        1000000  thrpt   10       642.264 ±     4.020  ops/s
MultiplicationBenchmark.loop       10000000  thrpt   10        56.196 ±     0.114  ops/s
MultiplicationBenchmark.multik          100  thrpt   10   5073298.581 ± 35401.727  ops/s
